,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10
PF1,"0.282771146583761,0.601517174342367,0.43223173770844,0.735622383371756,0.57036765540211,0.806715457767048","0.296745235748045,0.52222664942933,0.445823121277506,0.695083306224577,0.578652727522487,0.817257852696697","0.281378370536847,0.544226724335543,0.4204895126308,0.659850689305377,0.549890053587938,0.72066187248742","0.279521391734367,0.539137226876896,0.422980911131872,0.666678966678685,0.562236043337671,0.760280880304229","0.509570233565197,0.463007546565429,0.676042550985373,0.605000234004156,0.789081091022223,0.242821453813801","0.242821453813801,0.437578375243986,0.394583134510463,0.616298570349959,0.542550082014922,0.752644244809677","0.258618080378729,0.454443639178985,0.405135197599708,0.611238647197535,0.541941713683872,0.713220873428294","0.341205238305849,0.56820095725236,0.49446056262273,0.745906099486156,0.635247550727843,0.860529257932409","0.360311470735183,0.628518733718717,0.504450882955608,0.771257057703442,0.617681956048951,0.859659850032914","0.332961376149567,0.619981535017873,0.479622483482392,0.754754491692134,0.608794967196358,0.828293334008311"
PF2,"0.304334702132449,0.606975690721842,0.449617854469708,0.737457826870833,0.578652727522487,0.817257852696697","0.296597691099277,0.585938936247388,0.439199463411212,0.716911664391455,0.566030776529873,0.802655400950486","0.245631051826676,0.414378183087914,0.390420792443022,0.572382354729707,0.531863892953231,0.695246805257069","0.308632943245946,0.652904834490839,0.442994196603414,0.759286185037711,0.566030776529873,0.802655400950486","0.501355193653991,0.451506490689742,0.664541495109686,0.587487218883821,0.769719368059017,0.336994213924159","0.336994213924159,0.665014890167481,0.484961161428619,0.801360564627199,0.617681956048951,0.859659850032914","0.239801155786038,0.400127326099686,0.382258937986127,0.552431154946188,0.521370080080081,0.669595262678258","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.297831027061374,0.642792402318048,0.439761677947246,0.756259997359596,0.57036765540211,0.806715457767047","0.239684802211341,0.402552432349846,0.390550296735871,0.571265215200351,0.538069151154265,0.702607183532334"
PF3,"0.314801303778284,0.622809112045243,0.448774175786432,0.734436531365907,0.567568115025772,0.785348219611339","0.300630528873868,0.630972291396996,0.444538141357439,0.76351773732652,0.588309913940577,0.83028780792454","0.313380429660437,0.512596421243311,0.458947489748868,0.671982494168811,0.58075708995535,0.762989239130546","0.308632943245946,0.652904834490839,0.442994196603414,0.759286185037711,0.566030776529873,0.802655400950486","0.454502232168083,0.434521431759332,0.617688533623777,0.580887555592747,0.746292887316063,0.339227835925958","0.339227835925958,0.580265848874969,0.492179869233109,0.758986043980942,0.617681956048951,0.859659850032914","0.318753703576455,0.606680735162194,0.46135547588839,0.73765346330626,0.577108782768463,0.813026300407888","0.374111770464494,0.605767996264093,0.527063803771645,0.785713603928218,0.652565890587487,0.884878795915705","0.360311470735183,0.628518733718717,0.504450882955608,0.771257057703442,0.617681956048951,0.859659850032914","0.28966972928659,0.548637798202382,0.437188583704984,0.679979766534365,0.580503050931673,0.777381908690103"
PF4,"0.322786541351047,0.651714090311802,0.466694153834617,0.784259536241325,0.59868081339798,0.840658707381943","0.308139608861107,0.547622364137451,0.453825535649584,0.717015849318419,0.577108782768463,0.813026300407888","0.313380429660437,0.512596421243311,0.458947489748868,0.671982494168811,0.58075708995535,0.762989239130546","0.271417050291154,0.563815463117489,0.413308243887429,0.691384891048541,0.543874764052695,0.760703099877722","0.686947433261324,0.483417216674594,0.79712901233839,0.608794967196358,0.828293334008311,0.25989775317871","0.25989775317871,0.484380084614478,0.411659433875372,0.663100279720451,0.559626381379832,0.799445954180169","0.371677851496964,0.637995063026978,0.520930023736739,0.771205349085188,0.638745006275239,0.849382443508131","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.357281847072539,0.698448489137012,0.498068835177653,0.813631578349698,0.617681956048951,0.859659850032914","0.239684802211341,0.402552432349846,0.390550296735871,0.571265215200351,0.538069151154265,0.702607183532334"
PF5,"0.505186283487808,0.7131848809249,0.660667319222424,0.852973560080947,0.771807994944017,0.904825294226606","0.482707171602317,0.610679186106302,0.652581953905528,0.793795742387034,0.778595077851306,0.906545497697878","0.477876847346357,0.706638310031416,0.630721030373406,0.817165364429409,0.748925935679091,0.857341655444453","0.42795478960566,0.734905858160115,0.587224707380354,0.852897400985404,0.721833692433299,0.899000099658586","0.78821860413562,0.61815850526864,0.889715754539363,0.713353834365929,0.899168439977114,0.413831823448432","0.413831823448432,0.704204963649312,0.573137899349515,0.849831665953068,0.715074066220777,0.91292292132643","0.405557672351386,0.659100761620809,0.552218779684211,0.794038424283653,0.65970665544179,0.858756008206617","0.306720835639805,0.535694573067946,0.462449121097105,0.711849494346904,0.601929127269927,0.835666515223499","0.421266342420952,0.618193578467142,0.597709573811104,0.803523989397598,0.74498736453881,0.909217647432177","0.387989530962811,0.657584244617105,0.533647568558518,0.767708137909225,0.666924860496177,0.82272493376495"
PF6,"0.496045165534056,0.682467987129855,0.665855740853589,0.821140122028219,0.807266294358815,0.886720811905905","0.468890968115289,0.599956725645061,0.636007489580436,0.779022396071961,0.765337580767607,0.884227240608398","0.55698726280625,0.64729400977378,0.710867474869822,0.780959848082986,0.790020858208966,0.831477896720174","0.37857654499029,0.539775386442414,0.549194566261587,0.710617454256744,0.706827260063215,0.826352424634681","0.737115717490724,0.697514319506383,0.852483864939945,0.808511216359904,0.87700246231935,0.454500781193039","0.454500781193039,0.703901154442838,0.609118128625339,0.842855516578911,0.744494916840637,0.901029463038347","0.386054171341573,0.643036110245217,0.538288650962446,0.780108295561888,0.653396624778298,0.866893218963088","0.216515525721856,0.520608983917317,0.381603379780478,0.699350552113893,0.535366560408091,0.813294642351788","0.397223660177434,0.619212767871357,0.571852334168232,0.759436023557871,0.730710548965755,0.855620516542406","0.441285071572755,0.663166811154898,0.595460267135736,0.8014574547065,0.707883698310371,0.866681691237347"
PF7,"0.559402594994493,0.761312744138275,0.715140412221026,0.87936945010389,0.820001802213297,0.909489211059117","0.390090004057356,0.611597892304732,0.549433330801651,0.793875458385112,0.681326711054639,0.895372608788855","0.4292028047398,0.623525069494016,0.577296305177848,0.747553839272106,0.702981326477624,0.803882003765117","0.318439318706511,0.599575816110743,0.474102216672964,0.731173983417237,0.626765179222541,0.807665053287336","0.523867857719229,0.516496906524304,0.690163437063264,0.659732616457845,0.799566134602982,0.370576280310303","0.370576280310303,0.660675065189499,0.526057316044919,0.800463744345547,0.677656339900475,0.87574195923416","0.386054171341573,0.643036110245217,0.538288650962446,0.780108295561888,0.653396624778298,0.866893218963088","0.285157280091116,0.529245562809802,0.445063004335837,0.709282663459854,0.593644055149549,0.824522286151224","0.47478841434142,0.739008073465437,0.622225802374373,0.855963190327945,0.744494916840637,0.901029463038347","0.36138786673526,0.614635696588356,0.517050764701713,0.74623386389485,0.666924860496177,0.82272493376495"
