,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
PF1,"0.295091548943823,0.508747848218079,0.45530290984445,0.647980795343068,0.60326696538356,0.743576955450889","0.242821453813801,0.437578375243986,0.394583134510463,0.616298570349959,0.542550082014922,0.752644244809677","0.281378370536847,0.544226724335543,0.4204895126308,0.659850689305377,0.549890053587938,0.72066187248742","0.291353970428606,0.557375922542293,0.4371155124504,0.674754292392543,0.573166453335377,0.735776113647282","0.293608584145585,0.48720070653519,0.441790283502914,0.650049951074969,0.573314049576261,0.770651779761632","0.341205238305849,0.56820095725236,0.49446056262273,0.745906099486156,0.635247550727843,0.860529257932409","0.258618080378729,0.454443639178985,0.405135197599708,0.611238647197535,0.541941713683872,0.713220873428294","0.341205238305849,0.56820095725236,0.49446056262273,0.745906099486156,0.635247550727843,0.860529257932409","0.360311470735183,0.628518733718717,0.504450882955608,0.771257057703442,0.617681956048951,0.859659850032914","0.332961376149567,0.619981535017873,0.479622483482392,0.754754491692134,0.608794967196358,0.828293334008311","0.251713525889263,0.461949239450806,0.396257913256108,0.620888704689876,0.529548767008626,0.727737105637764","0.345238176520859,0.532390851457605,0.497891481103966,0.6998645348929,0.63894135950111,0.8122311208918"
PF2,"0.40521526958173,0.629603107719812,0.550498421918989,0.760085243868802,0.679533294971768,0.839885269694667","0.336994213924159,0.665014890167481,0.484961161428619,0.801360564627199,0.617681956048951,0.859659850032914","0.245631051826676,0.414378183087914,0.390420792443022,0.572382354729707,0.531863892953231,0.695246805257069","0.321131575977706,0.500339295441378,0.467648693198685,0.657652516441318,0.601396059769908,0.763197913115159","0.302139202071117,0.501355193653991,0.451506490689742,0.664541495109686,0.587487218883821,0.769719368059017","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.239801155786038,0.400127326099686,0.382258937986127,0.552431154946188,0.521370080080081,0.669595262678258","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.297831027061374,0.642792402318048,0.439761677947246,0.756259997359596,0.57036765540211,0.806715457767047","0.239684802211341,0.402552432349846,0.390550296735871,0.571265215200351,0.538069151154265,0.702607183532334","0.266028084769011,0.558666202136176,0.402925239356602,0.681009896109567,0.535487808731743,0.756450158056336","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705"
PF3,"0.314801303778284,0.622809112045243,0.448774175786432,0.734436531365907,0.567568115025772,0.785348219611339","0.339227835925958,0.580265848874969,0.492179869233109,0.758986043980942,0.617681956048951,0.859659850032914","0.313380429660437,0.512596421243311,0.458947489748868,0.671982494168811,0.58075708995535,0.762989239130546","0.327824856189979,0.576754244531491,0.470995333304822,0.695859990986374,0.601396059769908,0.763197913115159","0.28480866781978,0.454502232168083,0.434521431759332,0.617688533623777,0.580887555592747,0.746292887316063","0.374111770464494,0.605767996264093,0.527063803771645,0.785713603928218,0.652565890587487,0.884878795915705","0.318753703576455,0.606680735162194,0.46135547588839,0.73765346330626,0.577108782768463,0.813026300407888","0.374111770464494,0.605767996264093,0.527063803771645,0.785713603928218,0.652565890587487,0.884878795915705","0.360311470735183,0.628518733718717,0.504450882955608,0.771257057703442,0.617681956048951,0.859659850032914","0.285005812454079,0.496557393572675,0.432006453891083,0.622112650279136,0.565784109337454,0.750014165773792","0.29824993871512,0.616007958465342,0.435147093302711,0.738351652438733,0.552138587725046,0.789649947601286","0.391471905341063,0.607322635208264,0.555997361899259,0.788304668835168,0.693072871966148,0.888506286785436"
PF4,"0.340632850233359,0.631570965393534,0.485916002570618,0.76207072431193,0.614950875623397,0.840232582827963","0.25989775317871,0.484380084614478,0.411659433875372,0.663100279720451,0.559626381379832,0.799445954180169","0.313380429660437,0.512596421243311,0.458947489748868,0.671982494168811,0.58075708995535,0.762989239130546","0.308799257612675,0.46557072209694,0.45358899822902,0.624611319701513,0.595032098739229,0.746838876138587","0.344996628296237,0.686947433261324,0.483417216674594,0.79712901233839,0.608794967196358,0.828293334008311","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.371677851496964,0.637995063026978,0.520930023736739,0.771205349085188,0.638745006275239,0.849382443508131","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705","0.357281847072539,0.698448489137012,0.498068835177653,0.813631578349698,0.617681956048951,0.859659850032914","0.239684802211341,0.402552432349846,0.390550296735871,0.571265215200351,0.538069151154265,0.702607183532334","0.29824993871512,0.616007958465342,0.435147093302711,0.738351652438733,0.552138587725046,0.789649947601286","0.373292362025068,0.692414404152707,0.521259309529528,0.829036807872525,0.652565890587487,0.884878795915705"
PF5,"0.458564044390095,0.722807159519196,0.605287856035245,0.850719755871512,0.710514839235416,0.894870247816115","0.413831823448432,0.704204963649312,0.573137899349515,0.849831665953068,0.715074066220777,0.91292292132643","0.481759354317817,0.690220494565933,0.636419865517835,0.799463844986219,0.737162580051821,0.857929107122122","0.496964271232742,0.641644099484571,0.65473108065674,0.771225538585188,0.763841142904364,0.823947956481368","0.486265125015653,0.78821860413562,0.61815850526864,0.889715754539363,0.713353834365929,0.899168439977114","0.306720835639805,0.535694573067946,0.462449121097105,0.711849494346904,0.601929127269927,0.835666515223499","0.405557672351386,0.659100761620809,0.552218779684211,0.794038424283653,0.65970665544179,0.858756008206617","0.324469630252416,0.528445205206011,0.492030445451458,0.705447565852379,0.64334298136602,0.83176781617562","0.422976660948475,0.605330185152227,0.602858855507155,0.78934292760509,0.748056840247226,0.900694506953359","0.387989530962811,0.657584244617105,0.533647568558518,0.767708137909225,0.666924860496177,0.82272493376495","0.374293469812281,0.583794003679627,0.53095597133553,0.761907121280267,0.651341158124438,0.869314966989191","0.303584184037344,0.499884467273191,0.458416283322514,0.665807929753648,0.5965904493237,0.78794020957327"
PF6,"0.468238356198055,0.582302202515036,0.64647395993247,0.765765558920219,0.809131299906422,0.888399112000984","0.454500781193039,0.703901154442838,0.609118128625339,0.842855516578911,0.744494916840637,0.901029463038347","0.55698726280625,0.64729400977378,0.710867474869822,0.780959848082986,0.790020858208966,0.831477896720174","0.456344361705448,0.545588097869083,0.619876138482069,0.709119874645704,0.747413857324977,0.80805141597722","0.540610801458446,0.737115717490724,0.697514319506383,0.852483864939945,0.808511216359904,0.87700246231935","0.216515525721856,0.520608983917317,0.381603379780478,0.699350552113893,0.535366560408091,0.813294642351788","0.380006144230689,0.595326167520876,0.526628858881168,0.746856295922689,0.640171017485717,0.840125132126594","0.216515525721856,0.520608983917317,0.381603379780478,0.699350552113893,0.535366560408091,0.813294642351788","0.397223660177434,0.619212767871357,0.571852334168232,0.759436023557871,0.730710548965755,0.855620516542406","0.441285071572755,0.663166811154898,0.595460267135736,0.8014574547065,0.707883698310371,0.866681691237347","0.268414218276367,0.484613833443917,0.412264083682658,0.654415779091109,0.549627999802324,0.782519961100615","0.216515525721856,0.520608983917317,0.381603379780478,0.699350552113893,0.535366560408091,0.813294642351788"
