,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
A1,"0.400680026965604,0.552467498742201,0.673379634364385","0.324789074944533,0.490718682344861,0.637674623784178","0.405157246003291,0.53502753152382,0.634022480889936","0.412930440724142,0.547982856058573,0.65215993523859","0.395848496628324,0.552115043354094,0.67750625392545","0.457953480236741,0.623883087637069,0.754105828545706","0.351179768415317,0.502965384280429,0.623875663991128","0.457953480236741,0.623883087637069,0.754105828545706","0.501082941972663,0.65027934884231,0.744795223259254","0.485399683960362,0.630115159969351,0.722390568955966","0.344549235112225,0.49444041289074,0.61440347355814","0.44227022222444,0.603718898764111,0.731701174242418"
A2,"0.50604762905757,0.647821440682987,0.756479450723662","0.505563872833321,0.652519814272638,0.744795223259254","0.328077626981757,0.479863242846868,0.614915658181299","0.412930440724142,0.564716056589254,0.685626336299953","0.402783623825334,0.559751369504347,0.683252714121997","0.533848144080783,0.6808040855201,0.773079494506716","0.664839590272219,0.461725788498214,0.591596074018744","0.533848144080783,0.6808040855201,0.773079494506716","0.463135610050643,0.593358350959279,0.687874225376223","0.309105816932232,0.470554493471902,0.615269969480891","0.394054065795402,0.524971577612906,0.6369154234694","0.533848144080783,0.6808040855201,0.773079494506716"
A3,"0.468805207911763,0.59160535357617,0.676458167318555","0.4676165409113,0.633546148311628,0.744795223259254","0.418112570538043,0.569898186403155,0.674075265583173","0.446396841785505,0.581449257119936,0.685626336299953","0.369317222763971,0.526284968442984,0.666519513591316","0.495900812158762,0.66183041955909,0.773079494506716","0.684933179629812,0.606795575806796,0.696479919886461","0.495900812158762,0.66183041955909,0.773079494506716","0.501082941972663,0.65027934884231,0.744795223259254","0.390666366814423,0.532790777916462,0.660773053394769","0.449429369156972,0.580346880974476,0.664603075150184","0.503674006879614,0.674785744093843,0.79121694885537"
A4,"0.477763357810108,0.619537169435525,0.7281951794762","0.362736406866554,0.528666014266882,0.675621955706199","0.418112570538043,0.569898186403155,0.674075265583173","0.38464616947668,0.536431785341792,0.671484200676222","0.523347015882382,0.649088825930361,0.722390568955966","0.533848144080783,0.6808040855201,0.773079494506716","0.7019085675912,0.653217301402911,0.748083775296478","0.533848144080783,0.6808040855201,0.773079494506716","0.539030273894684,0.66925301480332,0.744795223259254","0.309105816932232,0.470554493471902,0.615269969480891","0.449429369156972,0.580346880974476,0.664603075150184","0.533848144080783,0.6808040855201,0.773079494506716"
A5,"0.598189881296558,0.736185816926046,0.805359084479101","0.562486726627837,0.719105728741713,0.818803732972558","0.575571496087247,0.708385301902833,0.793941170509948","0.567524564225199,0.712941239187432,0.794016176933888","0.651683602660282,0.768114807421809,0.813132279199952","0.419304949361477,0.585234556761805,0.718048362577392","0.541968226455286,0.686683702464274,0.764816975827159","0.427078144082329,0.598189881296558,0.736185816926046","0.516415600508343,0.696489199443887,0.824473330833679","0.522158348881919,0.655322754174127,0.755020758404973","0.476178085750319,0.640914454017293,0.756749039212143","0.403621691349176,0.565070367888846,0.695643708274104"
A6,"0.523350727705353,0.70412552559414,0.849193456991236","0.575087739862997,0.727225811116216,0.824683349916733","0.600990965286562,0.746407640248795,0.81074937746457","0.500591762102473,0.662741637595387,0.777282976403207","0.639292608508175,0.775398678183956,0.842331480306682","0.366028670726748,0.537140407940977,0.672545278663514","0.496384568383011,0.642989910345707,0.742337315099931","0.366028670726748,0.537140407940977,0.672545278663514","0.507667469693051,0.6672281361905,0.791081936196257","0.56010568080394,0.71000328662683,0.790727624896665","0.363879928594233,0.518953236186649,0.655052877818054","0.366028670726748,0.537140407940977,0.672545278663514"
