,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
PF1,"0.396,0.684,0.58,0.82,0.748,0.892","0.444,0.636,0.644,0.836,0.808,0.952","0.444,0.636,0.644,0.836,0.808,0.952","0.449333333333333,0.716,0.645333333333333,0.872,0.833333333333333,0.96","0.372,0.550666666666667,0.572,0.750666666666667,0.768,0.909333333333333","0.488,0.666,0.688,0.866,0.852,0.979","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.488,0.666,0.688,0.866,0.852,0.979","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.38,0.633333333333333,0.576,0.792,0.768,0.909333333333333","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.488,0.666,0.688,0.866,0.852,0.979"
PF2,"0.534,0.712,0.73,0.87,0.916,0.964","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.334,0.512,0.534,0.712,0.73,0.87","0.449333333333333,0.628,0.649333333333333,0.828,0.833333333333333,0.96","0.393333333333333,0.606666666666667,0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.334,0.512,0.534,0.712,0.73,0.87","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.396,0.684,0.58,0.82,0.748,0.892","0.316,0.444,0.516,0.644,0.712,0.808","0.38,0.633333333333333,0.576,0.792,0.768,0.909333333333333","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979"
PF3,"0.36,0.64,0.556,0.798,0.748,0.892","0.316,0.444,0.516,0.644,0.712,0.808","0.391333333333333,0.696,0.587333333333333,0.851333333333333,0.777333333333333,0.937333333333333","0.391333333333333,0.696,0.587333333333333,0.851333333333333,0.777333333333333,0.937333333333333","0.393333333333333,0.606666666666667,0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333","0.449333333333333,0.628,0.649333333333333,0.828,0.833333333333333,0.96","0.364,0.556,0.564,0.756,0.748,0.892","0.449333333333333,0.628,0.649333333333333,0.828,0.833333333333333,0.96","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.364,0.556,0.564,0.756,0.748,0.892","0.449333333333333,0.628,0.649333333333333,0.828,0.833333333333333,0.96"
PF4,"0.449333333333333,0.716,0.645333333333333,0.872,0.833333333333333,0.96","0.334,0.512,0.534,0.712,0.73,0.87","0.444,0.636,0.644,0.836,0.808,0.952","0.43,0.57,0.63,0.77,0.826,0.931","0.454666666666667,0.774666666666667,0.638666666666667,0.905333333333333,0.808,0.952","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.454666666666667,0.774666666666667,0.638666666666667,0.905333333333333,0.808,0.952","0.316,0.444,0.516,0.644,0.712,0.808","0.436,0.718666666666667,0.632,0.877333333333333,0.808,0.952","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979"
PF5,"0.566666666666667,0.82,0.750666666666667,0.952,0.892,0.988","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333,0.936,0.984","0.63,0.77,0.826,0.931,0.964,0.996","0.604,0.858,0.768,0.971,0.892,0.988","0.393333333333333,0.606666666666667,0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333","0.552,0.762,0.748,0.923,0.892,0.988","0.393333333333333,0.606666666666667,0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333","0.488,0.666,0.688,0.866,0.852,0.979","0.481333333333333,0.764,0.665333333333333,0.896,0.833333333333333,0.96","0.488,0.666,0.688,0.866,0.852,0.979","0.393333333333333,0.606666666666667,0.593333333333333,0.806666666666667,0.777333333333333,0.937333333333333"
PF6,"0.532,0.628,0.732,0.828,0.916,0.964","0.572,0.750666666666667,0.768,0.909333333333333,0.936,0.984","0.708,0.772,0.904,0.936,1,1","0.572,0.668,0.772,0.868,0.936,0.984","0.649333333333333,0.828,0.833333333333333,0.96,0.964,0.996","0.281333333333333,0.564,0.481333333333333,0.764,0.665333333333333,0.896","0.484,0.750666666666667,0.68,0.908333333333333,0.852,0.979","0.281333333333333,0.564,0.481333333333333,0.764,0.665333333333333,0.896","0.449333333333333,0.716,0.645333333333333,0.872,0.833333333333333,0.96","0.552,0.762,0.748,0.923,0.892,0.988","0.372,0.550666666666667,0.572,0.750666666666667,0.768,0.909333333333333","0.281333333333333,0.564,0.481333333333333,0.764,0.665333333333333,0.896"
